gen_kernel,gen_gamma,gen_cost,gen_acc,gen_auc,gen_pre,gen_rec
radial,0.5,1,0.9296992481203007,0.930844153437243,0.9583236106765518,0.9315766888967354
linear,0.5,1,0.9735902255639097,0.9690520512204117,0.9700719574403784,0.9890929629319722
polynomial,0.5,1,0.9172932330827067,0.9086736885032837,0.9249538560761471,0.9477680350416419
radial,0.5,10,0.9226817042606517,0.9224006150966795,0.9492165466449523,0.9286484222842581
linear,0.5,10,0.9665413533834586,0.9618536283730119,0.9648338622022833,0.9832106099907958
polynomial,0.5,10,0.9155388471177944,0.9100459150254715,0.9314588703733441,0.9358195056298771
radial,0.5,100,0.9226817042606517,0.9224006150966795,0.9492165466449523,0.9286484222842581
linear,0.5,100,0.9700501253132832,0.9654981296517843,0.9675322749006959,0.986151786461384
polynomial,0.5,100,0.9155388471177944,0.9100459150254715,0.9314588703733441,0.9358195056298771
radial,5,0.01,0.6273182957393484,0.5,0.6273182957393484,1
linear,5,0.01,0.943734335839599,0.9253567149276531,0.9211346565785024,0.9972972972972973
polynomial,5,0.01,0.9155388471177944,0.9100459150254715,0.9314588703733441,0.9358195056298771
radial,5,0.1,0.6273182957393484,0.5,0.6273182957393484,1
linear,5,0.1,0.9647869674185463,0.9550327660567935,0.9525435860962177,0.9946657183499289
polynomial,5,0.1,0.9155388471177944,0.9100459150254715,0.9314588703733441,0.9358195056298771
radial,5,1,0.6273182957393484,0.5,0.6273182957393484,1
linear,5,1,0.9735902255639097,0.9690520512204117,0.9700719574403784,0.9890929629319722
polynomial,5,1,0.9155388471177944,0.9100459150254715,0.9314588703733441,0.9358195056298771
radial,5,10,0.6273182957393484,0.5,0.6273182957393484,1
linear,5,10,0.9665413533834586,0.9618536283730119,0.9648338622022833,0.9832106099907958
polynomial,5,10,0.9155388471177944,0.9100459150254715,0.9314588703733441,0.9358195056298771
radial,5,100,0.6273182957393484,0.5,0.6273182957393484,1
linear,5,100,0.9700501253132832,0.9654981296517843,0.9675322749006959,0.986151786461384
polynomial,5,100,0.9155388471177944,0.9100459150254715,0.9314588703733441,0.9358195056298771
radial,50,0.01,0.6273182957393484,0.5,0.6273182957393484,1
linear,50,0.01,0.943734335839599,0.9253567149276531,0.9211346565785024,0.9972972972972973
polynomial,50,0.01,0.9155388471177944,0.9100459150254715,0.9314588703733441,0.9358195056298771
radial,50,0.1,0.6273182957393484,0.5,0.6273182957393484,1
linear,50,0.1,0.9647869674185463,0.9550327660567935,0.9525435860962177,0.9946657183499289
polynomial,50,0.1,0.9155388471177944,0.9100459150254715,0.9314588703733441,0.9358195056298771
radial,50,1,0.6273182957393484,0.5,0.6273182957393484,1
linear,50,1,0.9735902255639097,0.9690520512204117,0.9700719574403784,0.9890929629319722
polynomial,50,1,0.9155388471177944,0.9100459150254715,0.9314588703733441,0.9358195056298771
radial,50,10,0.6273182957393484,0.5,0.6273182957393484,1
linear,50,10,0.9665413533834586,0.9618536283730119,0.9648338622022833,0.9832106099907958
polynomial,50,10,0.9155388471177944,0.9100459150254715,0.9314588703733441,0.9358195056298771
radial,50,100,0.6273182957393484,0.5,0.6273182957393484,1
linear,50,100,0.9700501253132832,0.9654981296517843,0.9675322749006959,0.986151786461384
polynomial,50,100,0.9155388471177944,0.9100459150254715,0.9314588703733441,0.9358195056298771
radial,500,0.01,0.6273182957393484,0.5,0.6273182957393484,1
linear,500,0.01,0.943734335839599,0.9253567149276531,0.9211346565785024,0.9972972972972973
polynomial,500,0.01,0.9155388471177944,0.9100459150254715,0.9314588703733441,0.9358195056298771
radial,500,0.1,0.6273182957393484,0.5,0.6273182957393484,1
linear,500,0.1,0.9647869674185463,0.9550327660567935,0.9525435860962177,0.9946657183499289
polynomial,500,0.1,0.9155388471177944,0.9100459150254715,0.9314588703733441,0.9358195056298771
radial,500,1,0.6273182957393484,0.5,0.6273182957393484,1
linear,500,1,0.9735902255639097,0.9690520512204117,0.9700719574403784,0.9890929629319722
polynomial,500,1,0.9155388471177944,0.9100459150254715,0.9314588703733441,0.9358195056298771
radial,500,10,0.6273182957393484,0.5,0.6273182957393484,1
linear,500,10,0.9665413533834586,0.9618536283730119,0.9648338622022833,0.9832106099907958
polynomial,500,10,0.9155388471177944,0.9100459150254715,0.9314588703733441,0.9358195056298771
radial,500,100,0.6273182957393484,0.5,0.6273182957393484,1
linear,500,100,0.9700501253132832,0.9654981296517843,0.9675322749006959,0.986151786461384
polynomial,500,100,0.9155388471177944,0.9100459150254715,0.9314588703733441,0.9358195056298771
